NAME,GEOGRAPHICAL REGION,GEOGRAPHICAL LOCATION,COORDINATES,TYPE OF SITE,ELEVATION,PERIOD,CULTURAL COMPLEX,ABSOLUTE DATING ,STONE ARTIFACTS,PALEOLITHIC HUMAN REMAINS,LITERATURE,coord_ns,coord_ew
Šandalja II,Istra,Pula,"44° 52' 57"" N, 13° 53' 48"" E",C,72,EUP,"AU, EE, LE",25840-24085 Cal BP,YES,YES,"(Malez & Vogel 1969; Malez 1979: 257–61 Karta 1:59; Miracle 1995; Paunović et al. 2001: 53–58; Karavanić 2003; Karavanić & Janković 2006: 40–41, 2010; Janković et al. 2011; Karavanić et al. 2013; Čujkević-Plečko & Karavanić 2018, Karavanic & Jankovic 2006; Peresani et al. 2021)",44.8825,13.89666667
Šupljata pećina kod Markuševca,SZ Hrvatska,Medvednica,"45° 55' N, 16° 00' E",C,?,UP,Epipaleolithic,,NO,NO,"(Malez 1979: 261 karta 1:43; Paunović et al. 2001: 42–43; Komšo 2006: 77–78)
",45.91666667,16
Vela Spila Korcula,Dalmacija,otok korcula,"42.97032513397971,16.718318784658234",C,130,"UP, Mes","LUP, Epigravettian",19.7-14 cal ka BP,YES,,"Dean, S., Pappalardo, M., Boschian, G., Spada, G., Forenbaher, S., Juračić, M., Felja, I., Radić, D., & Miracle, P. T. (2020). ",42.97032513,16.71831878
Vela spilja na Lošinju,Kvarner,otok Lošinj (Osorčica),"44° 40' N, 14° 22' E",C,450/268,"MP, UP, Mes",epigravet ,/,YES,NO,"(Malez 1979: 262 karta 1:67; Paunović et al. 2001: 61; Komšo et al. 2005, 2020: 17; Komšo 2006: 69)",44.66666667,14.36666667
Vergotinova pećina,Istra,Poreč,"45° 17' 3"" N, 13° 39' 19"" E",C,85,"UP, Mes",?,/,?,YES,(Malez 1979: 265–66 karta 1:55; Paunović et al. 2001: 51; Komšo 2006: 71–72),45.28416667,13.65527778
Vlakno ,Ripišće,Dugi otok,"44.036488,15.028095",O,38,"UP, Mes",EE,19955 -19515 cal BP,YES,,"Vukosavljević, Nikola & Perhoč, Zlatko & Altherr, Rainer. (2014). Pleistocene-Holocene transition in the Vlakno Cave on the island of Dugi otok (Dalmatia, Croatia) – Lithic perspective. Prilozi Instituta za Arheologiju. 31. 5-72.",44.036488,15.028095
"Vuglovec, Ivanec",SZ Hrvatska,"Ravna gora, planina Ivančica","46° 12'N, 16° 08'E",C,?,EUP,"AU,G",,,NO,(Malez 1979: 274 karta 1:39; Paunović et al. 2001: 41),46.2,16.13333333
Zamet,Kvarner,Rijeka,"45.34709703002665, 14.385885538632936",C,140m,UP,/,30-20ka- not absolute,YES,NO- soot traces,Malez? ,45.34709703,14.38588554
Zapuntelsko polje,Dalmacija,otok Molat,"44° 15' N, 14° 46' E",O,/,UP,"M, Epipaleolithic",/,/,NO,(Malez 1979: 274–75 karta 1:70; Paunović et al. 2001: 63),44.25,14.76666667
"Zarilac, Požeška kotlina",Slavonija,Požeška kotlina,"45° 25' N, 17° 53' E",O,/,UP,"AU,G",,YES,NO,(Malez 1979: 275–76 karta 1:46; Paunović et al. 2001: 46–47),45.41666667,17.88333333
